#           k/h    P           
   0.612418E+00   0.611310E+03
   0.624789E+00   0.599896E+03
   0.637411E+00   0.588729E+03
   0.650288E+00   0.577799E+03
   0.663424E+00   0.567095E+03
   0.676826E+00   0.556609E+03
   0.690499E+00   0.546329E+03
   0.704448E+00   0.536249E+03
   0.718679E+00   0.526359E+03
   0.733197E+00   0.516651E+03
   0.748009E+00   0.507118E+03
   0.763119E+00   0.497752E+03
   0.778536E+00   0.488548E+03
   0.794263E+00   0.479499E+03
   0.810308E+00   0.470600E+03
   0.826677E+00   0.461845E+03
   0.843378E+00   0.453229E+03
   0.860415E+00   0.444746E+03
   0.877797E+00   0.436393E+03
   0.895529E+00   0.428165E+03
   0.913620E+00   0.420057E+03
   0.932076E+00   0.412066E+03
   0.950906E+00   0.404188E+03
   0.970115E+00   0.396419E+03
   0.989713E+00   0.388757E+03
   0.100971E+01   0.381199E+03
   0.103010E+01   0.373740E+03
   0.105091E+01   0.366380E+03
   0.107214E+01   0.359115E+03
   0.109380E+01   0.351943E+03
   0.111590E+01   0.344862E+03
   0.113844E+01   0.337870E+03
   0.116144E+01   0.330965E+03
   0.118490E+01   0.324146E+03
   0.120884E+01   0.317412E+03
   0.123326E+01   0.310761E+03
   0.125817E+01   0.304192E+03
   0.128359E+01   0.297705E+03
   0.130952E+01   0.291298E+03
   0.133597E+01   0.284970E+03
   0.136296E+01   0.278720E+03
   0.139049E+01   0.272549E+03
   0.141858E+01   0.266455E+03
   0.144724E+01   0.260439E+03
   0.147648E+01   0.254500E+03
   0.150630E+01   0.248639E+03
   0.153673E+01   0.242854E+03
   0.156778E+01   0.237147E+03
   0.159945E+01   0.231516E+03
   0.163176E+01   0.225962E+03
   0.166472E+01   0.220485E+03
   0.169835E+01   0.215084E+03
   0.173266E+01   0.209761E+03
   0.176766E+01   0.204516E+03
   0.180337E+01   0.199349E+03
   0.183980E+01   0.194261E+03
   0.187697E+01   0.189251E+03
   0.191489E+01   0.184320E+03
   0.195357E+01   0.179469E+03
   0.199304E+01   0.174696E+03
   0.203330E+01   0.170004E+03
   0.207437E+01   0.165391E+03
   0.211628E+01   0.160858E+03
   0.215903E+01   0.156407E+03
   0.220265E+01   0.152036E+03
   0.224714E+01   0.147746E+03
   0.229254E+01   0.143538E+03
   0.233885E+01   0.139412E+03
   0.238610E+01   0.135366E+03
   0.243430E+01   0.131402E+03
   0.248348E+01   0.127520E+03
   0.253365E+01   0.123718E+03
   0.258483E+01   0.119997E+03
   0.263705E+01   0.116357E+03
   0.269032E+01   0.112798E+03
   0.274466E+01   0.109319E+03
   0.280011E+01   0.105919E+03
   0.285668E+01   0.102599E+03
   0.291439E+01   0.993582E+02
   0.297326E+01   0.961951E+02
   0.303332E+01   0.931094E+02
   0.309460E+01   0.901005E+02
   0.315712E+01   0.871676E+02
   0.322090E+01   0.843098E+02
   0.328596E+01   0.815265E+02
   0.335234E+01   0.788166E+02
   0.342006E+01   0.761791E+02
   0.348916E+01   0.736132E+02
   0.355964E+01   0.711177E+02
   0.363155E+01   0.686916E+02
   0.370491E+01   0.663338E+02
   0.377976E+01   0.640432E+02
   0.385611E+01   0.618186E+02
   0.393401E+01   0.596589E+02
   0.401348E+01   0.575628E+02
   0.409456E+01   0.555292E+02
   0.417727E+01   0.535567E+02
   0.426166E+01   0.516443E+02
   0.434775E+01   0.497906E+02
   0.443558E+01   0.479944E+02
   0.452519E+01   0.462545E+02
   0.461660E+01   0.445695E+02
   0.470987E+01   0.429382E+02
   0.480501E+01   0.413593E+02
   0.490208E+01   0.398316E+02
   0.500111E+01   0.383539E+02
   0.510214E+01   0.369249E+02
   0.520521E+01   0.355432E+02
   0.531036E+01   0.342079E+02
   0.541763E+01   0.329175E+02
   0.552708E+01   0.316709E+02
   0.563873E+01   0.304670E+02
   0.575264E+01   0.293045E+02
   0.586885E+01   0.281822E+02
   0.598741E+01   0.270991E+02
   0.610836E+01   0.260540E+02
   0.623176E+01   0.250458E+02
   0.635765E+01   0.240733E+02
   0.648609E+01   0.231356E+02
   0.661711E+01   0.222316E+02
   0.675079E+01   0.213602E+02
   0.688716E+01   0.205205E+02
   0.702629E+01   0.197114E+02
   0.716823E+01   0.189320E+02
   0.731304E+01   0.181813E+02
   0.746077E+01   0.174584E+02
   0.761149E+01   0.167624E+02
   0.776525E+01   0.160924E+02
   0.792212E+01   0.154476E+02
   0.808217E+01   0.148271E+02
   0.824543E+01   0.142300E+02
   0.841200E+01   0.136557E+02
   0.858193E+01   0.131033E+02
   0.875530E+01   0.125721E+02
   0.893217E+01   0.120612E+02
   0.911261E+01   0.115701E+02
   0.929670E+01   0.110981E+02
   0.948451E+01   0.106443E+02
   0.967610E+01   0.102083E+02
   0.987158E+01   0.978930E+01
   0.100710E+02   0.938677E+01
   0.102744E+02   0.900009E+01
   0.104820E+02   0.862868E+01
   0.106938E+02   0.827198E+01
   0.109098E+02   0.792945E+01
   0.111302E+02   0.760056E+01
   0.113550E+02   0.728481E+01
   0.115844E+02   0.698170E+01
   0.118184E+02   0.669076E+01
   0.120572E+02   0.641153E+01
   0.123007E+02   0.614357E+01
   0.125492E+02   0.588645E+01
   0.128027E+02   0.563975E+01
   0.130614E+02   0.540307E+01
   0.133252E+02   0.517603E+01
   0.135944E+02   0.495825E+01
   0.138691E+02   0.474938E+01
   0.141492E+02   0.454906E+01
   0.144351E+02   0.435697E+01
   0.147267E+02   0.417278E+01
   0.150242E+02   0.399618E+01
   0.153277E+02   0.382687E+01
   0.156373E+02   0.366456E+01
   0.159532E+02   0.350897E+01
   0.162755E+02   0.335984E+01
   0.166043E+02   0.321691E+01
   0.169397E+02   0.307993E+01
   0.172819E+02   0.294866E+01
   0.176310E+02   0.282287E+01
   0.179872E+02   0.270234E+01
   0.183505E+02   0.258685E+01
   0.187212E+02   0.247621E+01
   0.190994E+02   0.237022E+01
   0.194853E+02   0.226868E+01
   0.198789E+02   0.217142E+01
   0.202805E+02   0.207825E+01
   0.206902E+02   0.198902E+01
   0.211081E+02   0.190356E+01
   0.215346E+02   0.182171E+01
   0.219696E+02   0.174333E+01
   0.224134E+02   0.166827E+01
   0.228662E+02   0.159640E+01
   0.233281E+02   0.152758E+01
   0.237994E+02   0.146168E+01
   0.242802E+02   0.139859E+01
   0.247707E+02   0.133819E+01
   0.252710E+02   0.128037E+01
   0.257816E+02   0.122501E+01
   0.263024E+02   0.117202E+01
   0.268337E+02   0.112129E+01
   0.273758E+02   0.107274E+01
   0.279288E+02   0.102626E+01
   0.284930E+02   0.981776E+00
   0.290686E+02   0.939201E+00
   0.296558E+02   0.898453E+00
   0.302549E+02   0.859455E+00
   0.308661E+02   0.822134E+00
   0.314897E+02   0.786418E+00
   0.321258E+02   0.752240E+00
   0.327748E+02   0.719534E+00
   0.334369E+02   0.688237E+00
   0.341123E+02   0.658291E+00
   0.348014E+02   0.629637E+00
   0.355045E+02   0.602220E+00
   0.362217E+02   0.575988E+00
   0.369535E+02   0.550890E+00
   0.377000E+02   0.526877E+00
   0.384616E+02   0.503904E+00
   0.392386E+02   0.481925E+00
   0.400312E+02   0.460899E+00
   0.408399E+02   0.440783E+00
   0.416649E+02   0.421540E+00
   0.425066E+02   0.403132E+00
   0.433653E+02   0.385523E+00
   0.442413E+02   0.368678E+00
   0.451350E+02   0.352565E+00
   0.460469E+02   0.337153E+00
   0.469770E+02   0.322410E+00
   0.479261E+02   0.308309E+00
   0.488942E+02   0.294821E+00
   0.498820E+02   0.281920E+00
   0.508896E+02   0.269581E+00
   0.519177E+02   0.257780E+00
   0.529665E+02   0.246492E+00
   0.540365E+02   0.235697E+00
   0.551281E+02   0.225372E+00
   0.562417E+02   0.215498E+00
   0.573779E+02   0.206054E+00
   0.585370E+02   0.197023E+00
   0.597195E+02   0.188385E+00
   0.609260E+02   0.180125E+00
   0.621568E+02   0.172226E+00
   0.634124E+02   0.164672E+00
   0.646934E+02   0.157448E+00
   0.660003E+02   0.150540E+00
   0.673336E+02   0.143934E+00
   0.686938E+02   0.137617E+00
   0.700816E+02   0.131576E+00
   0.714973E+02   0.125799E+00
   0.729416E+02   0.120276E+00
   0.744151E+02   0.114994E+00
   0.759184E+02   0.109944E+00
   0.774521E+02   0.105114E+00
   0.790167E+02   0.100497E+00
   0.806129E+02   0.960811E-01
   0.822415E+02   0.918591E-01
   0.839028E+02   0.878221E-01
   0.855978E+02   0.839621E-01
   0.873269E+02   0.802712E-01
   0.890911E+02   0.767421E-01
   0.908908E+02   0.733678E-01
   0.927270E+02   0.701414E-01
   0.946001E+02   0.670567E-01
   0.965112E+02   0.641073E-01
   0.984608E+02   0.612874E-01
   0.100450E+03   0.585913E-01
   0.102479E+03   0.560137E-01
   0.104549E+03   0.535495E-01
   0.106661E+03   0.511935E-01
   0.108816E+03   0.489412E-01
